annotation_row_id,finding_id,repository,filename,line_number,security_family,variant_a_lines,variant_b_lines,variant_c_lines,variant_b_fallback,variant_c_caller_count,variant_c_call_depth
GT-087,FND-000376,pytest-dev/pytest,src/_pytest/mark/expression.py,363,code-execution-eval,4,2,8,false,0,0
GT-088,FND-000272,certbot/certbot,certbot-ci/src/certbot_integration_tests/utils/dns_server.py,90,subprocess-execution,7,20,35,false,2,2
GT-089,FND-000399,psf/black,src/blib2to3/pgen2/conv.py,186,code-execution-eval,7,55,65,false,1,1
GT-090,FND-000393,psf/black,action/main.py,159,subprocess-execution,7,11,11,true,0,0
GT-091,FND-000551,celery/celery,t/integration/test_worker.py,15,subprocess-execution,7,5,10,false,0,0
GT-092,FND-000823,Gallopsled/pwntools,travis/coverage_chdir.py,12,code-execution-exec,4,6,6,true,0,0
GT-093,FND-000135,django/django,scripts/archive_eol_stable_branches.py,18,subprocess-execution,7,7,160,false,11,2
GT-094,FND-000359,pytest-dev/pytest,scripts/prepare-release-pr.py,122,subprocess-execution,7,14,29,false,1,1
GT-095,FND-000973,pypa/setuptools,exercises.py,6,subprocess-execution,4,3,8,false,0,0
GT-096,FND-000843,pypa/pip,src/pip/_internal/network/auth.py,171,subprocess-execution,7,8,27,false,2,2
GT-097,FND-000685,sqlmapproject/sqlmap,lib/core/update.py,138,subprocess-shell-true,7,53,58,false,0,0
GT-098,FND-001166,hypothesisworks/hypothesis,whole_repo_tests/types/test_mypy.py,45,subprocess-execution,7,16,208,false,34,2
GT-099,FND-000354,pytest-dev/pytest,scripts/prepare-release-pr.py,59,subprocess-execution,7,2,17,false,1,1
GT-100,FND-001233,simonw/datasette,datasette/publish/heroku.py,151,subprocess-execution,7,65,71,false,0,0
GT-101,FND-000332,pallets/click,src/click/_termui_impl.py,856,subprocess-execution,7,23,28,false,0,0
GT-102,FND-000908,numpy/numpy,numpy/_build_utils/tempita/_tempita.py,320,code-execution-eval,7,4,204,false,14,3
GT-103,FND-000421,pydantic/pydantic,.github/actions/people/people.py,773,subprocess-execution,7,10,10,true,0,0
GT-104,FND-000325,certbot/certbot,tools/venv.py,137,subprocess-shell-true,7,4,9,false,0,0
GT-105,FND-000728,sqlmapproject/sqlmap,lib/utils/library.py,148,subprocess-execution,7,14,23,false,1,1
GT-106,FND-001141,hypothesisworks/hypothesis,tooling/src/hypothesistooling/__main__.py,1143,subprocess-execution,7,5,11,false,0,0
GT-107,FND-000729,sqlmapproject/sqlmap,lib/utils/tui.py,728,subprocess-execution,7,14,52,false,4,3
GT-108,FND-000506,mongodb/mongo-python-driver,.evergreen/scripts/resync-all-specs.py,49,subprocess-execution,7,21,31,false,1,1
GT-109,FND-000412,pre-commit/pre-commit,pre_commit/commands/run.py,317,subprocess-execution,7,26,67,false,1,1
GT-110,FND-000462,sqlalchemy/sqlalchemy,lib/sqlalchemy/orm/clsregistry.py,592,code-execution-eval,7,4,10,false,0,0
GT-111,FND-000157,aio-libs/aiohttp,tools/cleanup_changes.py,38,subprocess-execution,7,13,18,false,0,0
GT-112,FND-000512,mongodb/mongo-python-driver,.evergreen/scripts/utils.py,305,subprocess-execution,7,5,22,false,3,1
GT-113,FND-001072,twisted/twisted,src/twisted/web/script.py,93,code-execution-eval,7,12,17,false,0,0
GT-114,FND-000228,ansible/ansible,lib/ansible/modules/mount_facts.py,265,subprocess-execution,7,4,10,false,0,0
GT-115,FND-000847,pypa/pip,src/pip/_vendor/distlib/util.py,1785,subprocess-execution,7,2,8,false,0,0
GT-116,FND-001204,simonw/datasette,datasette/cli.py,306,subprocess-execution,7,34,40,false,0,0
GT-117,FND-000801,Gallopsled/pwntools,pwnlib/internal/dochelper.py,21,code-execution-exec,7,6,12,false,0,0
GT-118,FND-000965,pypa/virtualenv,src/virtualenv/util/subprocess/__init__.py,27,subprocess-execution,7,10,15,false,0,0
GT-119,FND-000004,tiangolo/fastapi,scripts/docs.py,626,subprocess-execution,7,58,70,false,1,1
GT-120,FND-000201,ansible/ansible,hacking/update-sanity-requirements.py,62,subprocess-execution,7,24,45,false,1,1
GT-121,FND-001157,hypothesisworks/hypothesis,tooling/src/hypothesistooling/installers.py,85,subprocess-execution,7,5,10,false,0,0
GT-122,FND-000824,spulec/freezegun,create_tag.py,16,subprocess-execution,7,3,8,false,0,0
GT-123,FND-000229,ansible/ansible,lib/ansible/modules/mount_facts.py,275,subprocess-execution,7,4,10,false,0,0
GT-124,FND-000336,textualize/rich,tools/make_width_tables.py,53,subprocess-shell-true,4,6,6,true,0,0
GT-125,FND-000026,tiangolo/fastapi,scripts/topic_repos.py,68,subprocess-execution,7,3,8,false,0,0
GT-126,FND-000225,ansible/ansible,lib/ansible/modules/async_wrapper.py,151,subprocess-execution,7,20,65,false,1,1
GT-127,FND-001171,dateutil/dateutil,src/dateutil/zoneinfo/rebuild.py,52,subprocess-execution,7,3,21,false,1,1
GT-128,FND-001042,twisted/twisted,src/twisted/conch/insults/insults.py,1049,code-execution-exec,7,11,11,true,0,0
GT-129,FND-000990,pypa/setuptools,setuptools/installer.py,121,subprocess-execution,7,41,59,false,2,1
GT-130,FND-000817,Gallopsled/pwntools,pwnlib/util/misc.py,538,subprocess-execution,7,139,144,false,0,0
GT-131,FND-001184,pypa/flit,flit/__init__.py,47,subprocess-execution,7,9,44,false,3,2
GT-132,FND-000668,sqlmapproject/sqlmap,lib/controller/controller.py,781,subprocess-shell-true,7,582,588,false,0,0
GT-133,FND-000603,pyca/cryptography,src/_cffi_src/utils.py,17,code-execution-exec,7,11,11,true,0,0
GT-134,FND-001029,falconry/falcon,tools/tox_sdist.py,21,subprocess-execution,7,2,11,false,1,1
GT-135,FND-000013,tiangolo/fastapi,scripts/playwright/separate_openapi_schemas/image04.py,25,subprocess-execution,7,11,11,true,0,0
GT-136,FND-000919,numpy/numpy,numpy/f2py/crackfortran.py,2274,code-execution-eval,7,2,180,false,5,1
GT-137,FND-000850,pypa/pip,src/pip/_vendor/distro/distro.py,1213,subprocess-execution,7,3,10,false,0,0
GT-138,FND-000509,mongodb/mongo-python-driver,.evergreen/scripts/run_tests.py,210,subprocess-execution,7,9,37,false,2,1
GT-139,FND-000360,pytest-dev/pytest,scripts/prepare-release-pr.py,129,subprocess-execution,7,24,39,false,1,1
GT-140,FND-000010,tiangolo/fastapi,scripts/playwright/separate_openapi_schemas/image01.py,25,subprocess-execution,7,11,11,true,0,0
GT-141,FND-001188,pypa/flit,flit/install.py,369,subprocess-execution,7,7,18,false,1,1
GT-142,FND-000600,pyca/cryptography,.github/bin/bump_dependency.py,10,subprocess-execution,7,4,18,false,1,1
GT-143,FND-000792,Gallopsled/pwntools,pwnlib/commandline/version.py,22,subprocess-execution,7,5,10,false,0,0
GT-144,FND-000889,pandas-dev/pandas,pandas/io/clipboard/__init__.py,241,subprocess-execution,7,5,10,false,0,0
GT-145,FND-001143,hypothesisworks/hypothesis,tooling/src/hypothesistooling/git.py,18,subprocess-execution,7,4,13,false,1,1
GT-146,FND-000985,pypa/setuptools,setuptools/_vendor/packaging/tags.py,416,subprocess-execution,7,21,111,false,10,3
GT-147,FND-000544,celery/celery,celery/apps/multi.py,219,subprocess-execution,7,4,36,false,5,3
GT-148,FND-000249,ansible/ansible,lib/ansible/plugins/inventory/script.py,357,subprocess-execution,7,4,50,false,4,2
GT-149,FND-000386,tox-dev/tox,src/tox/tox_env/python/virtual_env/subprocess_adapter.py,183,subprocess-execution,7,9,30,false,2,1
GT-150,FND-000146,tornadoweb/tornado,maint/vm/windows/bootstrap.py,70,subprocess-execution,7,13,18,false,0,0
GT-151,FND-000327,pallets/click,src/click/_termui_impl.py,660,subprocess-execution,7,9,48,false,2,2
GT-152,FND-000297,certbot/certbot,certbot/src/certbot/_internal/plugins/nginx/configurator.py,1296,subprocess-execution,7,9,34,false,4,3
GT-153,FND-000309,certbot/certbot,tools/finish_release.py,201,subprocess-execution,7,5,126,false,14,2
GT-154,FND-001165,hypothesisworks/hypothesis,tooling/src/hypothesistooling/scripts.py,69,subprocess-execution,7,3,8,false,0,0
GT-155,FND-001227,simonw/datasette,datasette/publish/cloudrun.py,275,subprocess-shell-true,7,12,105,false,2,1
GT-156,FND-000190,ansible/ansible,hacking/create-bulk-issues.py,51,subprocess-execution,7,4,42,false,5,3
GT-157,FND-001033,grpc/grpc,src/python/grpcio_observability/setup.py,94,subprocess-execution,7,8,13,false,0,0
GT-158,FND-000215,ansible/ansible,lib/ansible/module_utils/common/respawn.py,48,subprocess-execution,7,3,8,false,0,0
GT-159,FND-000200,ansible/ansible,hacking/update-sanity-requirements.py,55,subprocess-execution,7,24,45,false,1,1
GT-160,FND-001191,pypa/flit,flit/vcs/git.py,7,subprocess-execution,7,3,8,false,0,0
GT-161,FND-000001,tiangolo/fastapi,scripts/docs.py,285,subprocess-execution,7,6,24,false,2,2
GT-162,FND-000403,psf/black,src/blib2to3/pgen2/pgen.py,100,code-execution-eval,7,9,71,false,4,2
GT-163,FND-000980,pypa/setuptools,setuptools/_distutils/core.py,250,code-execution-exec,7,8,13,false,0,0
GT-164,FND-000982,pypa/setuptools,setuptools/_vendor/jaraco/context/__init__.py,206,subprocess-execution,7,10,16,false,0,0
GT-165,FND-000239,ansible/ansible,lib/ansible/parsing/vault/__init__.py,833,subprocess-execution,7,9,31,false,2,1
GT-166,FND-000992,pypa/setuptools,setuptools/wheel.py,208,code-execution-eval,7,30,55,false,3,3
GT-167,FND-000341,tiangolo/typer,typer/_click/_termui_impl.py,365,subprocess-execution,7,13,18,false,0,0
GT-168,FND-000427,pydantic/pydantic,release/shared.py,8,subprocess-execution,7,2,7,false,0,0
GT-169,FND-000397,psf/black,scripts/release.py,78,subprocess-execution,7,2,25,false,4,2
GT-170,FND-001156,hypothesisworks/hypothesis,tooling/src/hypothesistooling/installers.py,80,subprocess-execution,7,5,10,false,0,0
GT-171,FND-000612,googleapis/google-auth-library-python,setup.py,100,code-execution-exec,7,11,11,true,0,0
GT-172,FND-000591,celery/celery,t/unit/utils/test_functional.py,362,code-execution-exec,7,5,11,false,0,0
GT-173,FND-000813,Gallopsled/pwntools,pwnlib/util/misc.py,390,subprocess-execution,7,64,69,false,0,0
GT-174,FND-000916,numpy/numpy,numpy/f2py/capi_maps.py,301,code-execution-eval,7,8,36,false,3,1
GT-175,FND-000263,ansible/ansible,packaging/release.py,81,subprocess-execution,7,11,582,false,67,3
GT-176,FND-000308,certbot/certbot,tools/finish_release.py,185,subprocess-execution,7,5,17,false,1,1
GT-177,FND-000819,Gallopsled/pwntools,pwnlib/util/safeeval.py,82,code-execution-eval,7,3,8,false,0,0
GT-178,FND-000684,sqlmapproject/sqlmap,lib/core/update.py,52,subprocess-shell-true,7,9,14,false,0,0
GT-179,FND-000303,certbot/certbot,certbot/src/certbot/util.py,494,subprocess-execution,7,22,38,false,2,1
GT-180,FND-000079,django/django,django/core/management/utils.py,24,subprocess-execution,7,3,8,false,0,0
GT-181,FND-000184,ansible/ansible,.azure-pipelines/scripts/publish-codecov.py,65,subprocess-execution,7,7,136,false,7,2
GT-182,FND-001083,python-trio/trio,src/trio/_tests/test_subprocess.py,605,subprocess-execution,7,4,10,false,0,0
GT-183,FND-001121,hypothesisworks/hypothesis,tooling/src/hypothesistooling/__main__.py,710,subprocess-execution,7,6,12,false,0,0
GT-184,FND-000390,tox-dev/tox,tasks/release.py,125,subprocess-execution,7,4,23,false,2,2
GT-185,FND-000970,pypa/virtualenv,tasks/upgrade_wheels.py,217,subprocess-execution,7,3,40,false,4,2
GT-186,FND-000890,pandas-dev/pandas,pandas/io/clipboard/__init__.py,243,subprocess-execution,7,5,10,false,0,0
GT-187,FND-001193,pypa/flit,flit/vcs/hg.py,24,subprocess-execution,7,3,8,false,0,0
GT-188,FND-000426,pydantic/pydantic,pydantic/v1/utils.py,195,code-execution-eval,7,3,8,false,0,0
GT-189,FND-000774,sqlmapproject/sqlmap,thirdparty/bottle/bottle.py,3924,subprocess-execution,7,17,166,false,14,2
GT-190,FND-000205,ansible/ansible,lib/ansible/cli/__init__.py,622,subprocess-execution,7,9,50,false,2,1
GT-191,FND-000144,django/django,scripts/prepare_commit_msg.py,28,subprocess-execution,7,2,11,false,1,1
GT-192,FND-000993,pypa/setuptools,tools/build_launchers.py,77,subprocess-execution,7,11,27,false,2,2
GT-193,FND-001019,falconry/falcon,falcon/bench/bench.py,222,code-execution-eval,7,3,86,false,7,2
GT-194,FND-000011,tiangolo/fastapi,scripts/playwright/separate_openapi_schemas/image02.py,26,subprocess-execution,7,11,11,true,0,0
GT-195,FND-000186,ansible/ansible,hacking/azp/incidental.py,319,subprocess-execution,7,2,24,false,2,2
GT-196,FND-000314,certbot/certbot,tools/snap/build_remote_single.py,151,subprocess-execution,7,5,18,false,1,1
GT-197,FND-000265,fabric/fabric,setup.py,45,code-execution-exec,7,11,11,true,0,0
GT-198,FND-001137,hypothesisworks/hypothesis,tooling/src/hypothesistooling/__main__.py,1113,subprocess-execution,7,4,10,false,0,0
GT-199,FND-000598,celery/celery,t/unit/utils/test_platforms.py,174,subprocess-execution,7,5,11,false,0,0
GT-200,FND-000997,pypa/setuptools,tools/finalize.py,42,subprocess-execution,7,3,12,false,1,1
GT-201,FND-000287,certbot/certbot,certbot-ci/src/snap_integration_tests/dns_tests/test_main.py,45,subprocess-execution,7,7,12,false,0,0
GT-202,FND-001163,hypothesisworks/hypothesis,tooling/src/hypothesistooling/release.py,291,subprocess-execution,7,11,16,false,0,0
GT-203,FND-000885,pandas-dev/pandas,pandas/io/clipboard/__init__.py,182,subprocess-execution,7,8,13,false,0,0
GT-204,FND-000414,pre-commit/pre-commit,pre_commit/util.py,103,subprocess-execution,7,9,18,false,1,1
GT-205,FND-000910,numpy/numpy,numpy/_build_utils/tempita/_tempita.py,1098,code-execution-eval,7,17,22,false,0,0
GT-206,FND-000507,mongodb/mongo-python-driver,.evergreen/scripts/resync-all-specs.py,98,subprocess-execution,7,7,19,false,1,1
GT-207,FND-000957,pycurl/pycurl,setup.py,479,subprocess-execution,7,3,9,false,0,0
GT-208,FND-000610,googleapis/google-auth-library-python,google/auth/transport/_mtls_helper.py,293,subprocess-execution,7,5,39,false,4,3
GT-209,FND-000391,tox-dev/tox,tasks/release.py,146,subprocess-execution,7,10,29,false,2,2
GT-210,FND-001000,pypa/setuptools,tools/generate_validation_code.py,27,subprocess-execution,7,14,26,false,1,1
GT-211,FND-000782,Gallopsled/pwntools,pwnlib/commandline/elfdiff.py,22,subprocess-execution,7,2,16,false,1,1
GT-212,FND-000978,pypa/setuptools,setuptools/_distutils/compilers/C/msvc.py,93,subprocess-execution,7,34,56,false,3,3
GT-213,FND-000362,pytest-dev/pytest,scripts/release.py,21,subprocess-execution,7,2,24,false,2,2
GT-214,FND-001223,simonw/datasette,datasette/publish/cloudrun.py,222,subprocess-shell-true,7,102,108,false,0,0
GT-215,FND-000815,Gallopsled/pwntools,pwnlib/util/misc.py,509,subprocess-execution,7,122,127,false,0,0
GT-216,FND-000909,numpy/numpy,numpy/_build_utils/tempita/_tempita.py,335,code-execution-exec,7,3,68,false,6,3
GT-217,FND-000345,tiangolo/typer,typer/_completion_classes.py,73,subprocess-execution,7,7,22,false,2,2
GT-218,FND-000284,certbot/certbot,certbot-ci/src/snap_integration_tests/dns_tests/test_main.py,41,subprocess-execution,7,6,11,false,0,0
GT-219,FND-000793,Gallopsled/pwntools,pwnlib/commandline/version.py,23,subprocess-execution,7,6,11,false,0,0
GT-220,FND-000937,numpy/numpy,tools/linter.py,26,subprocess-execution,7,8,20,false,1,1
GT-221,FND-000124,django/django,django/db/backends/sqlite3/schema.py,455,dynamic-sql,7,22,28,false,0,0
GT-222,FND-000044,django/django,django/contrib/gis/db/backends/spatialite/operations.py,161,dynamic-sql,7,4,54,false,10,3
GT-223,FND-000085,django/django,django/db/backends/base/operations.py,113,dynamic-sql,7,3,9,false,0,0
GT-224,FND-000086,django/django,django/db/backends/base/schema.py,559,dynamic-sql,7,7,24,false,2,1
GT-225,FND-000493,tortoise/tortoise-orm,tortoise/backends/mysql/client.py,132,dynamic-sql,7,21,35,false,2,1
GT-226,FND-000753,sqlmapproject/sqlmap,plugins/dbms/postgresql/filesystem.py,69,dynamic-sql,7,2,8,false,0,0
GT-227,FND-000527,psycopg/psycopg2,lib/_json.py,187,dynamic-sql,7,7,28,false,3,2
GT-228,FND-000054,django/django,django/contrib/postgres/operations.py,203,dynamic-sql,7,11,25,false,2,1
GT-229,FND-000053,django/django,django/contrib/postgres/operations.py,51,dynamic-sql,7,5,11,false,0,0
GT-230,FND-000764,sqlmapproject/sqlmap,plugins/generic/entries.py,491,dynamic-sql,7,519,652,false,4,1
GT-231,FND-001213,simonw/datasette,datasette/facets.py,336,dynamic-sql,7,68,74,false,0,0
GT-232,FND-000097,django/django,django/db/backends/oracle/base.py,337,dynamic-sql,7,15,25,false,1,1
GT-233,FND-000768,sqlmapproject/sqlmap,plugins/generic/filesystem.py,123,dynamic-sql,7,11,17,false,0,0
GT-234,FND-000093,django/django,django/db/backends/mysql/introspection.py,159,dynamic-sql,7,4,39,false,2,1
GT-235,FND-000669,sqlmapproject/sqlmap,lib/core/agent.py,1166,dynamic-sql,7,28,34,false,0,0
GT-236,FND-000477,coleifer/peewee,peewee.py,4293,dynamic-sql,7,4,28,false,3,3
GT-237,FND-000665,sqlmapproject/sqlmap,extra/vulnserver/vulnserver.py,1202,dynamic-sql,7,3,100,false,5,3
GT-238,FND-000636,sqlmapproject/sqlmap,extra/esperanto/enumeration.py,137,dynamic-sql,7,13,53,false,4,2
