finding_id,repo_id,repository,commit_sha,domain,cohort,security_family,cwe_id,filename,statement_start,statement_end,line_number,scanner_count,scanners,rule_ids,raw_alert_count,raw_alert_ids,reported_lines,severity,confidence,messages,statement_code,annotator_1_label,annotator_2_label,adjudicated_label,rationale
FND-000622,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,weak-hash,CWE-327,extra/dbwire/postgres.py,243,243,243,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001067|ALT-001222,243,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"            inner = hashlib.md5((password or """").encode(""utf-8"") + (user or """").encode(""utf-8"")).hexdigest()",PENDING,PENDING,PENDING,PENDING
FND-000710,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,weak-hash,CWE-327,lib/utils/hash.py,115,115,115,2,Bandit|Semgrep,B324|python.security.weak-hash,4,ALT-001148|ALT-001149|ALT-001255|ALT-001256,115,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"    retVal = ""*%s"" % sha1(sha1(password).digest()).hexdigest()",PENDING,PENDING,PENDING,PENDING
FND-001055,R064,twisted/twisted,ac919a6d1b2f91b7dea806bacfae99abab5291d4,"HTTP, Networking & Cloud",Supplementary_Holdout_Pool,weak-hash,CWE-327,src/twisted/mail/pop3.py,75,75,75,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001830|ALT-001866,75,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,        myDigest = md5(seed).hexdigest(),PENDING,PENDING,PENDING,PENDING
FND-000720,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,weak-hash,CWE-327,lib/utils/hash.py,452,452,452,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001160|ALT-001267,452,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,    final = md5(ctx).digest(),PENDING,PENDING,PENDING,PENDING
FND-001110,R072,hypothesisworks/hypothesis,a8dcd7422a325926693b5464f73349e361562b7c,"CLI, Tooling & Systems",Supplementary_Holdout_Pool,weak-hash,CWE-327,hypothesis/src/hypothesis/extra/_patching.py,339,339,339,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001950|ALT-002011,339,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,    hash8 = hashlib.sha1(cleaned.encode()).hexdigest()[:8],PENDING,PENDING,PENDING,PENDING
FND-000167,R008,cherrypy/cherrypy,1f75bc9eed8e0e385f64f368bd69f58d96fb8c2b,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,cherrypy/lib/auth_digest.py,38,38,38,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000267|ALT-000273,38,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"    return md5(ntob(s, 'utf-8')).hexdigest()",PENDING,PENDING,PENDING,PENDING
FND-000168,R008,cherrypy/cherrypy,1f75bc9eed8e0e385f64f368bd69f58d96fb8c2b,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,cherrypy/lib/cptools.py,55,55,55,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000268|ALT-000274,55,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"        etag = '""%s""' % md5(etag).hexdigest()",PENDING,PENDING,PENDING,PENDING
FND-000722,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,weak-hash,CWE-327,lib/utils/hash.py,605,605,605,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001162|ALT-001269,605,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"    return ""%s:%s"" % (md5(getBytes(password) + getBytes(salt)).hexdigest(), salt)",PENDING,PENDING,PENDING,PENDING
FND-000942,R054,pallets/jinja,5ef70112a1ff19c05324ff889dd30405b1002044,Web Frameworks & APIs,Supplementary_Holdout_Pool,weak-hash,CWE-327,src/jinja2/bccache.py,152,152,152,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001612|ALT-001618,152,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"        hash = sha1(name.encode(""utf-8""))",PENDING,PENDING,PENDING,PENDING
FND-001173,R085,lepture/authlib,c529a61af40e3efe05286140e00fbdced07d7987,"Security, Cryptography & Auth",Supplementary_Holdout_Pool,weak-hash,CWE-327,authlib/oauth1/rfc5849/client_auth.py,150,150,150,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-002077|ALT-002078,150,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,            oauth_body_hash = base64.b64encode(hashlib.sha1(body).digest()),PENDING,PENDING,PENDING,PENDING
FND-000156,R006,aio-libs/aiohttp,a5fba5b4d3ce962db5f4c40865fdb270170d7840,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,aiohttp/web_ws.py,329,331,329,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000245|ALT-000250,330,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"        accept_val = base64.b64encode(
            hashlib.sha1(key.encode() + WS_KEY).digest()
        ).decode()",PENDING,PENDING,PENDING,PENDING
FND-001013,R059,scrapy/scrapy,9344d60dd1ca211d7ca43ff9f37ac20473b28d88,Web Frameworks & APIs,Supplementary_Holdout_Pool,weak-hash,CWE-327,scrapy/pipelines/images.py,276,276,276,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001749|ALT-001765,276,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,        thumb_guid = hashlib.sha1(to_bytes(request.url)).hexdigest()  # noqa: S324,PENDING,PENDING,PENDING,PENDING
FND-000036,R002,pallets/flask,d318b683471101618febed18996405ad26462110,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,src/flask/sessions.py,281,281,281,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000069|ALT-000072,281,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,    return hashlib.sha1(string),PENDING,PENDING,PENDING,PENDING
FND-000155,R006,aio-libs/aiohttp,a5fba5b4d3ce962db5f4c40865fdb270170d7840,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,aiohttp/client_middleware_digest_auth.py,332,341,332,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000244|ALT-000249,332,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"        cnonce = hashlib.sha1(
            b"""".join(
                [
                    str(self._nonce_count).encode(""utf-8""),
                    nonce_bytes,
                    time.ctime().encode(""utf-8""),
                    os.urandom(8),
                ]
            )
        ).hexdigest()[:16]",PENDING,PENDING,PENDING,PENDING
FND-000172,R011,paramiko/paramiko,142f593e40ad767c5e3556cbace66dc84589620c,"HTTP, Networking & Cloud",Primary_Core_Benchmark,weak-hash,CWE-327,paramiko/config.py,446,463,446,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000278|ALT-000283,449,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"        replacements = {
            # TODO: %%???
            # TODO: sha1 bad / this is offspec from rfc/openssh
            ""%C"": sha1(tohash.encode()).hexdigest(),
            ""%d"": homedir,
            ""%h"": configured_hostname,
            # TODO: %i?
            ""%L"": local_hostname,
            ""%l"": local_fqdn,
            # also this is pseudo buggy when not in Match exec mode so document
            # that. also WHY is that the case?? don't we do all of this late?
            ""%n"": target_hostname,
            ""%p"": port,
            ""%r"": remoteuser,
            # TODO: %T? don't believe this is possible however
            ""%u"": user,
            ""~"": homedir,
        }",PENDING,PENDING,PENDING,PENDING
FND-000152,R004,tornadoweb/tornado,0096f2897c98facdcd9716009ee934a7381af5ef,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,tornado/web.py,1757,1757,1757,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000232|ALT-000241,1757,HIGH|WARNING,HIGH,Use of weak SHA1 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,        hasher = hashlib.sha1(),PENDING,PENDING,PENDING,PENDING
FND-000038,R003,django/django,9193cb54550727a02fd55dab1b430597a9aa4297,Web Frameworks & APIs,Primary_Core_Benchmark,weak-hash,CWE-327,django/contrib/auth/hashers.py,665,665,665,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-000073|ALT-000141,665,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,        hash = hashlib.md5(force_bytes(salt) + force_bytes(password)).hexdigest(),PENDING,PENDING,PENDING,PENDING
FND-000623,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,weak-hash,CWE-327,extra/dbwire/postgres.py,244,244,244,2,Bandit|Semgrep,B324|python.security.weak-hash,2,ALT-001068|ALT-001223,244,HIGH|WARNING,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False || Weak MD5 or SHA1 hash construction detected.,"            token = b""md5"" + hashlib.md5(inner.encode(""ascii"") + salt).hexdigest().encode(""ascii"")",PENDING,PENDING,PENDING,PENDING
FND-000931,R053,numpy/numpy,43a7a41747f860a09f2c5b9a2fe5a97c7f5f8004,Data Science & ML,Supplementary_Holdout_Pool,hardcoded-temp-path,CWE-377,numpy/lib/_npyio_impl.py,683,752,683,1,Semgrep,python.security.hardcoded-temp-path,2,ALT-001600|ALT-001601,745|746,WARNING,,Hard-coded temporary filesystem path detected.,"    """"""
    Save several arrays into a single file in compressed ``.npz`` format.

    Provide arrays as keyword arguments to store them under the
    corresponding name in the output file: ``savez_compressed(fn, x=x, y=y)``.

    If arrays are specified as positional arguments, i.e.,
    ``savez_compressed(fn, x, y)``, their names will be `arr_0`, `arr_1`, etc.

    Parameters
    ----------
    file : file, str, or pathlib.Path
        Either the filename (string) or an open file (file-like object)
        where the data will be saved. If file is a string or a Path, the
        ``.npz`` extension will be appended to the filename if it is not
        already there.
    args : Arguments, optional
        Arrays to save to the file. Please use keyword arguments (see
        `kwds` below) to assign names to arrays.  Arrays specified as
        args will be named ""arr_0"", ""arr_1"", and so on.
    allow_pickle : bool, optional
        Allow saving object arrays using Python pickles. Reasons for
        disallowing pickles include security (loading pickled data can execute
        arbitrary code) and portability (pickled objects may not be loadable
        on different Python installations, for example if the stored objects
        require libraries that are not available, and not all pickled data is
        compatible between different versions of Python).
        Default: True
    kwds : Keyword arguments, optional
        Arrays to save to the file. Each array will be saved to the
        output file with its corresponding keyword name.

    Returns
    -------
    None

    See Also
    --------
    numpy.save : Save a single array to a binary file in NumPy format.
    numpy.savetxt : Save an array to a file as plain text.
    numpy.savez : Save several arrays into an uncompressed ``.npz`` file format
    numpy.load : Load the files created by savez_compressed.

    Notes
    -----
    The ``.npz`` file format is a zipped archive of files named after the
    variables they contain.  The archive is compressed with
    ``zipfile.ZIP_DEFLATED`` and each file in the archive contains one variable
    in ``.npy`` format. For a description of the ``.npy`` format, see
    :py:mod:`numpy.lib.format`.


    When opening the saved ``.npz`` file with `load` a `~lib.npyio.NpzFile`
    object is returned. This is a dictionary-like object which can be queried
    for its list of arrays (with the ``.files`` attribute), and for the arrays
    themselves.

    Examples
    --------
    >>> import numpy as np
    >>> test_array = np.random.rand(3, 2)
    >>> test_vector = np.random.rand(4)
    >>> np.savez_compressed('/tmp/123', a=test_array, b=test_vector)
    >>> loaded = np.load('/tmp/123.npz')
    >>> print(np.array_equal(test_array, loaded['a']))
    True
    >>> print(np.array_equal(test_vector, loaded['b']))
    True

    """"""",PENDING,PENDING,PENDING,PENDING
FND-000180,R012,boto/boto3,dbcacf0c46b79a0f3f7204367ec423722fd3ce16,"HTTP, Networking & Cloud",Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,boto3/s3/inject.py,279,309,279,1,Semgrep,python.security.hardcoded-temp-path,1,ALT-000291,285,WARNING,,Hard-coded temporary filesystem path detected.,"    """"""Download an S3 object to a file.

    Usage::

        import boto3
        s3 = boto3.resource('s3')
        s3.Bucket('amzn-s3-demo-bucket').download_file('hello.txt', '/tmp/hello.txt')

    Similar behavior as S3Transfer's download_file() method,
    except that parameters are capitalized. Detailed examples can be found at
    :ref:`S3Transfer's Usage <ref_s3transfer_usage>`.

    :type Key: str
    :param Key: The name of the key to download from.

    :type Filename: str
    :param Filename: The path to the file to download to.

    :type ExtraArgs: dict
    :param ExtraArgs: Extra arguments that may be passed to the
        client operation. For allowed download arguments see
        :py:attr:`boto3.s3.transfer.S3Transfer.ALLOWED_DOWNLOAD_ARGS`.

    :type Callback: function
    :param Callback: A method which takes a number of bytes transferred to
        be periodically called during the download.

    :type Config: boto3.s3.transfer.TransferConfig
    :param Config: The transfer configuration to be used when performing the
        transfer.
    """"""",PENDING,PENDING,PENDING,PENDING
FND-000037,R003,django/django,9193cb54550727a02fd55dab1b430597a9aa4297,Web Frameworks & APIs,Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,django/conf/global_settings.py,334,334,334,1,Semgrep,python.security.hardcoded-temp-path,1,ALT-000140,334,WARNING,,Hard-coded temporary filesystem path detected.,"# directory (i.e. ""/tmp"" on *nix systems).",PENDING,PENDING,PENDING,PENDING
FND-000807,R046,Gallopsled/pwntools,1429a134ecf88eb9af70e05bf6c912f45dfde224,"Security, Cryptography & Auth",Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,pwnlib/tubes/ssh.py,1527,1547,1527,1,Semgrep,python.security.hardcoded-temp-path,2,ALT-001359|ALT-001360,1538|1542,WARNING,,Hard-coded temporary filesystem path detected.,"        """"""Downloads a file from the remote server.

        The file is cached in /tmp/pwntools-ssh-cache using a hash of the file, so
        calling the function twice has little overhead.

        Arguments:
            remote(str/bytes): The remote filename to download
            local(str): The local filename to save it to. Default is to infer it from the remote filename.
        
        Examples:

            >>> with open('/tmp/foobar','w+') as f:
            ...     _ = f.write('Hello, world')
            >>> s =  ssh(host='example.pwnme',
            ...         cache=False)
            >>> _ = s.set_working_directory(wd='/tmp')
            >>> _ = s.download_file('foobar', 'barfoo')
            >>> with open('barfoo','r') as f:
            ...     print(f.read())
            Hello, world
        """"""",PENDING,PENDING,PENDING,PENDING
FND-000179,R012,boto/boto3,dbcacf0c46b79a0f3f7204367ec423722fd3ce16,"HTTP, Networking & Cloud",Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,boto3/s3/inject.py,235,265,235,1,Semgrep,python.security.hardcoded-temp-path,1,ALT-000290,241,WARNING,,Hard-coded temporary filesystem path detected.,"    """"""Upload a file to an S3 object.

    Usage::

        import boto3
        s3 = boto3.resource('s3')
        s3.Bucket('amzn-s3-demo-bucket').upload_file('/tmp/hello.txt', 'hello.txt')

    Similar behavior as S3Transfer's upload_file() method,
    except that parameters are capitalized. Detailed examples can be found at
    :ref:`S3Transfer's Usage <ref_s3transfer_usage>`.

    :type Filename: str
    :param Filename: The path to the file to upload.

    :type Key: str
    :param Key: The name of the key to upload to.

    :type ExtraArgs: dict
    :param ExtraArgs: Extra arguments that may be passed to the
        client operation. For allowed upload arguments see
        :py:attr:`boto3.s3.transfer.S3Transfer.ALLOWED_UPLOAD_ARGS`.

    :type Callback: function
    :param Callback: A method which takes a number of bytes transferred to
        be periodically called during the upload.

    :type Config: boto3.s3.transfer.TransferConfig
    :param Config: The transfer configuration to be used when performing the
        transfer.
    """"""",PENDING,PENDING,PENDING,PENDING
FND-000574,R040,celery/celery,07ee451b5313b520ed4f57cfe93d35ac81d0548c,"Databases, Caching & ORM",Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,t/unit/bin/proj/daemon_config.py,3,3,3,2,Bandit|Semgrep,B108|python.security.hardcoded-temp-path,2,ALT-000955|ALT-001003,3,MEDIUM|WARNING,MEDIUM,Hard-coded temporary filesystem path detected. || Probable insecure usage of temp file/directory.,"beat_pidfile = ""/tmp/beat.test.pid""",PENDING,PENDING,PENDING,PENDING
FND-000707,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,"Security, Cryptography & Auth",Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,lib/techniques/ssti/inject.py,834,837,834,2,Bandit|Semgrep,B108|python.security.hardcoded-temp-path,2,ALT-001145|ALT-001253,835,MEDIUM|WARNING,MEDIUM,Hard-coded temporary filesystem path detected. || Probable insecure usage of temp file/directory.,"_FILE_TEMP = {
    ""unix"": (lambda name: ""/tmp/%s"" % name, _FILE_RCE, lambda f: ""rm -f %s"" % f),
    ""windows"": (lambda name: ""%%TEMP%%\\%s"" % name, _FILE_RCE_WINDOWS, lambda f: ""cmd /c del /q %s"" % f),
}",PENDING,PENDING,PENDING,PENDING
FND-000805,R046,Gallopsled/pwntools,1429a134ecf88eb9af70e05bf6c912f45dfde224,"Security, Cryptography & Auth",Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,pwnlib/tubes/ssh.py,1146,1172,1146,1,Semgrep,python.security.hardcoded-temp-path,2,ALT-001354|ALT-001355,1167|1171,WARNING,,Hard-coded temporary filesystem path detected.,"        r""""""system(process, tty = True, cwd = None, env = None, timeout = Timeout.default, raw = True) -> ssh_channel

        Open a new channel with a specific process inside. If `tty` is True,
        then a TTY is requested on the remote server.

        If `raw` is True, terminal control codes are ignored and input is not
        echoed back.

        Return a :class:`pwnlib.tubes.ssh.ssh_channel` object.

        Examples:

            >>> s =  ssh(host='example.pwnme')
            >>> py = s.system('python3 -i')
            >>> _ = py.recvuntil(b'>>> ')
            >>> py.sendline(b'print(2+2)')
            >>> py.sendline(b'exit()')
            >>> print(repr(py.recvline()))
            b'4\n'
            >>> s.system('env | grep -a AAAA', env={'AAAA': b'\x90'}).recvall()
            b'AAAA=\x90\n'
            >>> io = s.system('pwd', cwd='/tmp')
            >>> io.recvall()
            b'/tmp\n'
            >>> io.cwd
            '/tmp'
        """"""",PENDING,PENDING,PENDING,PENDING
FND-000818,R046,Gallopsled/pwntools,1429a134ecf88eb9af70e05bf6c912f45dfde224,"Security, Cryptography & Auth",Primary_Core_Benchmark,hardcoded-temp-path,CWE-377,pwnlib/util/packing.py,1118,1166,1118,1,Semgrep,python.security.hardcoded-temp-path,4,ALT-001375|ALT-001376|ALT-001377|ALT-001378,1160|1161|1163|1164,WARNING,,Hard-coded temporary filesystem path detected.,"    r""""""dd(dst, src, count = 0, skip = 0, seek = 0, truncate = False) -> dst

    Inspired by the command line tool ``dd``, this function copies `count` byte
    values from offset `seek` in `src` to offset `skip` in `dst`.  If `count` is
    0, all of ``src[seek:]`` is copied.

    If `dst` is a mutable type it will be updated.  Otherwise, a new instance of
    the same type will be created.  In either case the result is returned.

    `src` can be an iterable of characters or integers, a string or a
    file object.  If it is an iterable of integers, each integer must be in the
    range [0;255].  If it is a string, its UTF-8 encoding will be used.

    The seek offset of file objects will be preserved.

    Arguments:
        dst: Supported types are :class:`file`, :class:`list`, :class:`tuple`,
             :class:`str` and :class:`bytearray`.
        src: An iterable of byte values (characters or integers), a string or
             a file object.
        count (int): How many bytes to copy.  If `count` is 0 or larger than
                     ``len(src[seek:])``, all bytes until the end of `src` are
                     copied.
        skip (int): Offset in `dst` to copy to.
        seek (int): Offset in `src` to copy from.
        truncate (bool): If :const:`True`, `dst` is truncated at the last copied
                         byte.

    Returns:
        A modified version of `dst`.  If `dst` is a mutable type it will be
        modified in-place.

    Examples:

        >>> dd(tuple('Hello!'), b'?', skip = 5)
        ('H', 'e', 'l', 'l', 'o', b'?')
        >>> dd(list('Hello!'), (63,), skip = 5)
        ['H', 'e', 'l', 'l', 'o', b'?']

    .. doctest::
        :options: +POSIX +TODO

        >>> _ = open('/tmp/foo', 'w').write('A' * 10)
        >>> dd(open('/tmp/foo'), open('/dev/zero'), skip = 3, count = 4).read()
        'AAA\x00\x00\x00\x00AAA'
        >>> _ = open('/tmp/foo', 'w').write('A' * 10)
        >>> dd(open('/tmp/foo'), open('/dev/zero'), skip = 3, count = 4, truncate = True).read()
        'AAA\x00\x00\x00\x00'
    """"""",PENDING,PENDING,PENDING,PENDING
