annotation_row_id,finding_id,repo_id,repository,commit_sha,security_family,cwe_id,filename,statement_start,statement_end,line_number,statement_code,annotator_1_label,annotator_1_rationale,annotator_1_evidence_locations,annotator_2_label,annotator_2_rationale,annotator_2_evidence_locations,pre_adjudication_agreement,adjudicated_label,adjudication_rationale,adjudication_evidence_locations,final_label,final_rationale,final_evidence_locations,final_decision_source
GT-011,FND-000622,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,weak-hash,CWE-327,extra/dbwire/postgres.py,243,243,243,"            inner = hashlib.md5((password or """").encode(""utf-8"") + (user or """").encode(""utf-8"")).hexdigest()",TRUE_BUG,"This branch implements PostgreSQL's MD5 password authentication and derives the client authentication token from the password, username, and server salt using MD5. The hash therefore protects an authentication exchange rather than serving as a non-security checksum.",extra/dbwire/postgres.py:229-261,TRUE_BUG,"This branch implements PostgreSQL's MD5 password authentication and derives the client authentication token from the password, username, and server salt using MD5. The hash therefore protects an authentication exchange rather than serving as a non-security checksum.",extra/dbwire/postgres.py:229-261,true,,,,TRUE_BUG,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,extra/dbwire/postgres.py:229-261; extra/dbwire/postgres.py:229-261,independent_agreement
GT-012,FND-000710,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,weak-hash,CWE-327,lib/utils/hash.py,115,115,115,"    retVal = ""*%s"" % sha1(sha1(password).digest()).hexdigest()",FALSE_POSITIVE,This helper reproduces the MySQL password-hash format so sqlmap can recognize or work with database password hashes. It is security-analysis functionality and is not the repository choosing SHA-1 to protect its own stored credentials.,lib/utils/hash.py:101-133,FALSE_POSITIVE,This helper reproduces the MySQL password-hash format so sqlmap can recognize or work with database password hashes. It is security-analysis functionality and is not the repository choosing SHA-1 to protect its own stored credentials.,lib/utils/hash.py:101-133,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,lib/utils/hash.py:101-133; lib/utils/hash.py:101-133,independent_agreement
GT-013,FND-001055,R064,twisted/twisted,ac919a6d1b2f91b7dea806bacfae99abab5291d4,weak-hash,CWE-327,src/twisted/mail/pop3.py,75,75,75,        myDigest = md5(seed).hexdigest(),TRUE_BUG,The POP3 APOP credential check recomputes MD5 over the challenge and plaintext password and accepts the login when the digest matches. MD5 is therefore part of the actual authentication decision.,src/twisted/mail/pop3.py:61-93,TRUE_BUG,The POP3 APOP credential check recomputes MD5 over the challenge and plaintext password and accepts the login when the digest matches. MD5 is therefore part of the actual authentication decision.,src/twisted/mail/pop3.py:61-93,true,,,,TRUE_BUG,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,src/twisted/mail/pop3.py:61-93; src/twisted/mail/pop3.py:61-93,independent_agreement
GT-014,FND-000720,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,weak-hash,CWE-327,lib/utils/hash.py,452,452,452,    final = md5(ctx).digest(),FALSE_POSITIVE,The MD5 operations implement a legacy password-hash format inside sqlmap's hash utility/cracking support. The function is reproducing an external format for analysis rather than selecting MD5 as the application's own password-storage scheme.,lib/utils/hash.py:438-470,FALSE_POSITIVE,The MD5 operations implement a legacy password-hash format inside sqlmap's hash utility/cracking support. The function is reproducing an external format for analysis rather than selecting MD5 as the application's own password-storage scheme.,lib/utils/hash.py:438-470,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,lib/utils/hash.py:438-470; lib/utils/hash.py:438-470,independent_agreement
GT-015,FND-001110,R072,hypothesisworks/hypothesis,a8dcd7422a325926693b5464f73349e361562b7c,weak-hash,CWE-327,hypothesis/src/hypothesis/extra/_patching.py,339,339,339,    hash8 = hashlib.sha1(cleaned.encode()).hexdigest()[:8],FALSE_POSITIVE,SHA-1 is used to create an eight-character deterministic name for a saved patch. The digest only names/deduplicates local patch data and does not provide authentication or integrity protection.,hypothesis/src/hypothesis/extra/_patching.py:325-357,FALSE_POSITIVE,SHA-1 is used to create an eight-character deterministic name for a saved patch. The digest only names/deduplicates local patch data and does not provide authentication or integrity protection.,hypothesis/src/hypothesis/extra/_patching.py:325-357,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,hypothesis/src/hypothesis/extra/_patching.py:325-357; hypothesis/src/hypothesis/extra/_patching.py:325-357,independent_agreement
GT-016,FND-000167,R008,cherrypy/cherrypy,1f75bc9eed8e0e385f64f368bd69f58d96fb8c2b,weak-hash,CWE-327,cherrypy/lib/auth_digest.py,38,38,38,"    return md5(ntob(s, 'utf-8')).hexdigest()",TRUE_BUG,"CherryPy's HTTP Digest authentication implementation supports MD5/MD5-sess and derives HA1 from username, realm, and password with MD5. The weak hash is therefore used directly to authenticate users.",cherrypy/lib/auth_digest.py:24-56,TRUE_BUG,"CherryPy's HTTP Digest authentication implementation supports MD5/MD5-sess and derives HA1 from username, realm, and password with MD5. The weak hash is therefore used directly to authenticate users.",cherrypy/lib/auth_digest.py:24-56,true,,,,TRUE_BUG,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,cherrypy/lib/auth_digest.py:24-56; cherrypy/lib/auth_digest.py:24-56,independent_agreement
GT-017,FND-000168,R008,cherrypy/cherrypy,1f75bc9eed8e0e385f64f368bd69f58d96fb8c2b,weak-hash,CWE-327,cherrypy/lib/cptools.py,55,55,55,"        etag = '""%s""' % md5(etag).hexdigest()",FALSE_POSITIVE,"MD5 is used to generate an HTTP ETag from the response body. This is a cache validator, not a password, token, signature, or other security-sensitive integrity check.",cherrypy/lib/cptools.py:41-73,FALSE_POSITIVE,"MD5 is used to generate an HTTP ETag from the response body. This is a cache validator, not a password, token, signature, or other security-sensitive integrity check.",cherrypy/lib/cptools.py:41-73,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,cherrypy/lib/cptools.py:41-73; cherrypy/lib/cptools.py:41-73,independent_agreement
GT-018,FND-000722,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,weak-hash,CWE-327,lib/utils/hash.py,605,605,605,"    return ""%s:%s"" % (md5(getBytes(password) + getBytes(salt)).hexdigest(), salt)",FALSE_POSITIVE,The flagged MD5 code is another sqlmap helper for reproducing legacy password-hash formats during hash analysis. It does not protect sqlmap's own credentials or authentication state.,lib/utils/hash.py:591-623,FALSE_POSITIVE,The flagged MD5 code is another sqlmap helper for reproducing legacy password-hash formats during hash analysis. It does not protect sqlmap's own credentials or authentication state.,lib/utils/hash.py:591-623,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,lib/utils/hash.py:591-623; lib/utils/hash.py:591-623,independent_agreement
GT-019,FND-000942,R054,pallets/jinja,5ef70112a1ff19c05324ff889dd30405b1002044,weak-hash,CWE-327,src/jinja2/bccache.py,152,152,152,"        hash = sha1(name.encode(""utf-8""))",FALSE_POSITIVE,"SHA-1 is used for Jinja bytecode-cache keys and a source checksum so cached templates can be located and invalidated. Those values are cache metadata, not security credentials or signatures.",src/jinja2/bccache.py:138-170,FALSE_POSITIVE,"SHA-1 is used for Jinja bytecode-cache keys and a source checksum so cached templates can be located and invalidated. Those values are cache metadata, not security credentials or signatures.",src/jinja2/bccache.py:138-170,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,src/jinja2/bccache.py:138-170; src/jinja2/bccache.py:138-170,independent_agreement
GT-020,FND-001173,R085,lepture/authlib,c529a61af40e3efe05286140e00fbdced07d7987,weak-hash,CWE-327,authlib/oauth1/rfc5849/client_auth.py,150,150,150,            oauth_body_hash = base64.b64encode(hashlib.sha1(body).digest()),TRUE_BUG,"The SHA-1 digest is used to construct the OAuth 1 request body hash that is carried as part of signed request metadata. This is a security-sensitive integrity use of a weak hash, not merely a cache identifier.",authlib/oauth1/rfc5849/client_auth.py:136-168,TRUE_BUG,"The SHA-1 digest is used to construct the OAuth 1 request body hash that is carried as part of signed request metadata. This is a security-sensitive integrity use of a weak hash, not merely a cache identifier.",authlib/oauth1/rfc5849/client_auth.py:136-168,true,,,,TRUE_BUG,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,authlib/oauth1/rfc5849/client_auth.py:136-168; authlib/oauth1/rfc5849/client_auth.py:136-168,independent_agreement
GT-021,FND-000156,R006,aio-libs/aiohttp,a5fba5b4d3ce962db5f4c40865fdb270170d7840,weak-hash,CWE-327,aiohttp/web_ws.py,329,331,329,"        accept_val = base64.b64encode(
            hashlib.sha1(key.encode() + WS_KEY).digest()
        ).decode()",FALSE_POSITIVE,The SHA-1 calculation is the WebSocket handshake's protocol-defined Sec-WebSocket-Accept transformation. It proves protocol handshake compatibility and is not intended to provide cryptographic authentication or data integrity.,aiohttp/web_ws.py:315-349,FALSE_POSITIVE,The SHA-1 calculation is the WebSocket handshake's protocol-defined Sec-WebSocket-Accept transformation. It proves protocol handshake compatibility and is not intended to provide cryptographic authentication or data integrity.,aiohttp/web_ws.py:315-349,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,aiohttp/web_ws.py:315-349; aiohttp/web_ws.py:315-349,independent_agreement
GT-022,FND-001013,R059,scrapy/scrapy,9344d60dd1ca211d7ca43ff9f37ac20473b28d88,weak-hash,CWE-327,scrapy/pipelines/images.py,276,276,276,        thumb_guid = hashlib.sha1(to_bytes(request.url)).hexdigest()  # noqa: S324,FALSE_POSITIVE,The SHA-1 of the image URL is only used to derive a deterministic filename for the downloaded image or thumbnail. No security decision depends on the digest.,scrapy/pipelines/images.py:262-294,FALSE_POSITIVE,The SHA-1 of the image URL is only used to derive a deterministic filename for the downloaded image or thumbnail. No security decision depends on the digest.,scrapy/pipelines/images.py:262-294,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,scrapy/pipelines/images.py:262-294; scrapy/pipelines/images.py:262-294,independent_agreement
GT-023,FND-000036,R002,pallets/flask,d318b683471101618febed18996405ad26462110,weak-hash,CWE-327,src/flask/sessions.py,281,281,281,    return hashlib.sha1(string),TRUE_BUG,"Flask's default secure-cookie session interface uses SHA-1 as the digest method for the HMAC-based session signature. Because the digest contributes directly to session-cookie integrity and authenticity, this is security-sensitive weak-hash use under the codebook.",src/flask/sessions.py:267-299,FALSE_POSITIVE,"SHA-1 is configured as the digest function inside an HMAC-based signed-cookie construction, not as an unhashed password, bare integrity digest, or collision-sensitive signature. The cookie's authenticity still depends on possession of the Flask secret key. A second reviewer can therefore reasonably treat the scanner's generic SHA-1 warning as not demonstrating a practical weak-hash defect in this HMAC context.",src/flask/sessions.py:276-316,false,FALSE_POSITIVE,"After joint review, the finding is adjudicated FALSE_POSITIVE. SHA-1 is configured as the digest function inside an HMAC-based signed-cookie construction using the application's secret key. The relevant security property is keyed message authentication rather than bare SHA-1 collision resistance, and the surrounding Flask code explicitly uses HMAC key derivation. The flagged SHA-1 call therefore does not by itself establish the warned weak-hash defect.",src/flask/sessions.py:276-316,FALSE_POSITIVE,"After joint review, the finding is adjudicated FALSE_POSITIVE. SHA-1 is configured as the digest function inside an HMAC-based signed-cookie construction using the application's secret key. The relevant security property is keyed message authentication rather than bare SHA-1 collision resistance, and the surrounding Flask code explicitly uses HMAC key derivation. The flagged SHA-1 call therefore does not by itself establish the warned weak-hash defect.",src/flask/sessions.py:276-316,adjudication
GT-024,FND-000155,R006,aio-libs/aiohttp,a5fba5b4d3ce962db5f4c40865fdb270170d7840,weak-hash,CWE-327,aiohttp/client_middleware_digest_auth.py,332,341,332,"        cnonce = hashlib.sha1(
            b"""".join(
                [
                    str(self._nonce_count).encode(""utf-8""),
                    nonce_bytes,
                    time.ctime().encode(""utf-8""),
                    os.urandom(8),
                ]
            )
        ).hexdigest()[:16]",FALSE_POSITIVE,"SHA-1 is used only to derive a client nonce from a server nonce, counter, time, and fresh os.urandom() bytes. The actual HTTP Digest response uses the negotiated digest algorithm; this SHA-1 call is not itself the credential hash or signature.",aiohttp/client_middleware_digest_auth.py:318-359,FALSE_POSITIVE,"SHA-1 is used only to derive a client nonce from a server nonce, counter, time, and fresh os.urandom() bytes. The actual HTTP Digest response uses the negotiated digest algorithm; this SHA-1 call is not itself the credential hash or signature.",aiohttp/client_middleware_digest_auth.py:318-359,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,aiohttp/client_middleware_digest_auth.py:318-359; aiohttp/client_middleware_digest_auth.py:318-359,independent_agreement
GT-025,FND-000172,R011,paramiko/paramiko,142f593e40ad767c5e3556cbace66dc84589620c,weak-hash,CWE-327,paramiko/config.py,446,463,446,"        replacements = {
            # TODO: %%???
            # TODO: sha1 bad / this is offspec from rfc/openssh
            ""%C"": sha1(tohash.encode()).hexdigest(),
            ""%d"": homedir,
            ""%h"": configured_hostname,
            # TODO: %i?
            ""%L"": local_hostname,
            ""%l"": local_fqdn,
            # also this is pseudo buggy when not in Match exec mode so document
            # that. also WHY is that the case?? don't we do all of this late?
            ""%n"": target_hostname,
            ""%p"": port,
            ""%r"": remoteuser,
            # TODO: %T? don't believe this is possible however
            ""%u"": user,
            ""~"": homedir,
        }",FALSE_POSITIVE,Paramiko hashes the connection tuple to implement OpenSSH's %C configuration token. The digest produces a deterministic config value and is not used for host-key verification or authentication.,paramiko/config.py:432-481,FALSE_POSITIVE,Paramiko hashes the connection tuple to implement OpenSSH's %C configuration token. The digest produces a deterministic config value and is not used for host-key verification or authentication.,paramiko/config.py:432-481,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,paramiko/config.py:432-481; paramiko/config.py:432-481,independent_agreement
GT-026,FND-000152,R004,tornadoweb/tornado,0096f2897c98facdcd9716009ee934a7381af5ef,weak-hash,CWE-327,tornado/web.py,1757,1757,1757,        hasher = hashlib.sha1(),FALSE_POSITIVE,"Tornado hashes the response body to produce an HTTP ETag. The value is a cache validator, so the code does not rely on SHA-1 for authentication, signatures, or secret protection.",tornado/web.py:1743-1775,FALSE_POSITIVE,"Tornado hashes the response body to produce an HTTP ETag. The value is a cache validator, so the code does not rely on SHA-1 for authentication, signatures, or secret protection.",tornado/web.py:1743-1775,true,,,,FALSE_POSITIVE,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,tornado/web.py:1743-1775; tornado/web.py:1743-1775,independent_agreement
GT-027,FND-000038,R003,django/django,9193cb54550727a02fd55dab1b430597a9aa4297,weak-hash,CWE-327,django/contrib/auth/hashers.py,665,665,665,        hash = hashlib.md5(force_bytes(salt) + force_bytes(password)).hexdigest(),TRUE_BUG,"This class is explicitly an MD5 password hasher and its encode and verify methods derive and compare password hashes using MD5. The source itself marks the algorithm as not recommended, and the weak primitive is directly protecting stored credentials.",django/contrib/auth/hashers.py:651-683,TRUE_BUG,"This class is explicitly an MD5 password hasher and its encode and verify methods derive and compare password hashes using MD5. The source itself marks the algorithm as not recommended, and the weak primitive is directly protecting stored credentials.",django/contrib/auth/hashers.py:651-683,true,,,,TRUE_BUG,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,django/contrib/auth/hashers.py:651-683; django/contrib/auth/hashers.py:651-683,independent_agreement
GT-028,FND-000623,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,weak-hash,CWE-327,extra/dbwire/postgres.py,244,244,244,"            token = b""md5"" + hashlib.md5(inner.encode(""ascii"") + salt).hexdigest().encode(""ascii"")",TRUE_BUG,This is the same PostgreSQL MD5-authentication path: the client token is derived from the password and username with MD5 before being sent to the server. It is a direct authentication use of a weak hash.,extra/dbwire/postgres.py:230-262,TRUE_BUG,This is the same PostgreSQL MD5-authentication path: the client token is derived from the password and username with MD5 before being sent to the server. It is a direct authentication use of a weak hash.,extra/dbwire/postgres.py:230-262,true,,,,TRUE_BUG,Independent annotators agreed; original rationales are preserved in the annotator rationale fields.,extra/dbwire/postgres.py:230-262; extra/dbwire/postgres.py:230-262,independent_agreement
